words,count_up,count_down,total,polarity_score
직접금융/NNG,41.0,19.0,60.0,2.9882714567179303
투자심리/NNG;약화/NNG,22.0,15.0,37.0,2.031052794972512
원화자산/NNG,35.0,19.0,54.0,2.5509634386616478
정량/NNG,22.0,23.0,45.0,1.3245996488951166
해빙/NNG,10.0,9.0,19.0,1.5386763598276605
숙박업/NNG,31.0,26.0,57.0,1.6511180938150665
상호/NNG,85.0,81.0,166.0,1.4531943398372351
자산/NNG;증가/NNG,16.0,12.0,28.0,1.846411631793193
규제가격/NNG,24.0,10.0,34.0,3.3235409372277465
교외/NNG,22.0,5.0,27.0,6.093158384917536
순서/NNG,59.0,53.0,112.0,1.5415795227707316
대각선/NNG,13.0,13.0,26.0,1.3848087238448945
최상위/NNG,55.0,51.0,106.0,1.4934211727739057
기대/NNG;낮/VV,17.0,14.0,31.0,1.681553450383086
여행지/NNG,24.0,1.0,25.0,33.235409372277466
금전/NNG,12.0,11.0,23.0,1.5107004260126122
회사채신속인수제/NNG,27.0,8.0,35.0,4.673729442976518
현물환/NNG,48.0,47.0,95.0,1.4142727392458496
준다/VV,24.0,24.0,48.0,1.3848087238448945
불확실성/NNG;해소/NNG,44.0,41.0,85.0,1.4861361914433016
인수금액/NNG,16.0,11.0,27.0,2.014267234683483
주택담보대출/NNG;증가/NNG,11.0,11.0,22.0,1.3848087238448947
하반/NNG,51.0,23.0,74.0,3.0706628224386794
가산/NNG,51.0,41.0,92.0,1.7225669491729176
내수주/NNG,16.0,6.0,22.0,3.692823263586386
바짝/MAG,10.0,10.0,20.0,1.3848087238448943
녹록/NNG;않/VX,21.0,14.0,35.0,2.0772130857673416
제법/MAG,23.0,17.0,40.0,1.8735647440254457
비리/NNG,24.0,24.0,48.0,1.3848087238448945
潮流/NNG,37.0,1.0,38.0,51.237922782261094
사료/NNG,16.0,13.0,29.0,1.704379967809101
말라/VV,14.0,9.0,23.0,2.1541469037587246
두기/NNG,23.0,7.0,30.0,4.550085806918939
스퀘어/NNG,36.0,19.0,55.0,2.623848108337695
정규/NNG,30.0,21.0,51.0,1.9782981769212777
결정지/VV,11.0,10.0,21.0,1.523289596229384
