words,count_up,count_down,total,polarity_score
전방/NNG,19.0,45.0,64.0,0.5846970167345109
기각/NNG,7.0,16.0,23.0,0.6058538166821413
만기구간/NNG,11.0,28.0,39.0,0.5440319986533515
불확실성/NNG;크/VV,18.0,33.0,51.0,0.7553502130063061
인하/NNG,5318.0,11181.0,16499.0,0.6586542163855782
자사/NNG,29.0,58.0,87.0,0.6924043619224474
전망/NNG;금리/NNG;인하/NNG,27.0,55.0,82.0,0.6798151917056754
공동체/NNG,7.0,17.0,24.0,0.5702153568773095
공모주청약/NNG,6.0,11.0,17.0,0.7553502130063061
되풀이/NNG,9.0,24.0,33.0,0.5193032714418354
책임자/NNG,19.0,41.0,60.0,0.6417406281232437
액티브펀드/NNG,5.0,20.0,25.0,0.34620218096122357
전월세/NNG,23.0,54.0,77.0,0.5898259379339366
마두/NNG,7.0,15.0,22.0,0.6462440711276174
내수기업/NNG,12.0,26.0,38.0,0.6391424879284128
시가총액상위종목/NNG,35.0,123.0,158.0,0.39405126288269354
예고/NNG,105.0,210.0,315.0,0.6924043619224471
빌라/NNG,2.0,26.0,28.0,0.10652374798806881
예상/NNG;약하/VA,7.0,13.0,20.0,0.7456662359164816
나온다면/VV,18.0,33.0,51.0,0.7553502130063061
따라잡/VV,5.0,12.0,17.0,0.5770036349353728
단일물/NNG,8.0,17.0,25.0,0.651674693574068
공채/NNG,3.0,16.0,19.0,0.2596516357209177
기업가/NNG,2.0,52.0,54.0,0.053261873994034405
폐지/NNG,132.0,243.0,375.0,0.7522417759157451
가입금액/NNG,3.0,14.0,17.0,0.29674472653819167
마이너스/NNG,409.0,761.0,1170.0,0.7442664494777422
대출보증/NNG,5.0,28.0,33.0,0.24728727211515972
장기채권형/NNG,62.0,130.0,192.0,0.6604472375260266
일렉트론/NNG,5.0,28.0,33.0,0.24728727211515972
담배/NNG,24.0,63.0,87.0,0.5275461805123408
신고가/NNG,28.0,141.0,169.0,0.27499747707558186
새해/NNG,56.0,253.0,309.0,0.30651892701705175
맞춰져/VV,6.0,11.0,17.0,0.7553502130063061
벨트/NNG,11.0,21.0,32.0,0.7253759982044686
국고채/NNG;금리/NNG;낮/VA,6.0,11.0,17.0,0.7553502130063061
화답/NNG,8.0,17.0,25.0,0.651674693574068
국채/NNG;발행/NNG;증가/NNG,10.0,20.0,30.0,0.6924043619224471
대외교역/NNG,4.0,14.0,18.0,0.3956596353842556
