,word,positive_count,negative_count,total
556,늦,73,124,197
557,올리,57,150,207
558,빨리,73,100,173
559,기본,180,276,456
560,올려야,5,24,29
562,카리,60,11,71
563,미니애폴리스,37,8,45
565,커,80,140,220
566,필라델피아,53,60,113
567,차례,216,541,757
568,보이,1122,1823,2945
569,관성,3,12,15
570,기존,594,1203,1797
571,이유,425,763,1188
572,주,1823,2712,4535
574,스탠스,122,217,339
575,분기,1986,3082,5068
576,중요,418,745,1163
577,화두,12,18,30
578,인플레,262,353,615
579,타게팅,15,8,23
580,용인,46,89,135
581,넘어선,36,77,113
582,늘,394,625,1019
585,트리,44,82,126
587,작동,22,39,61
588,유연,39,81,120
589,부여,84,93,177
590,목소리,57,117,174
591,방안,355,518,873
592,목표제,8,8,16
593,특정,82,109,191
594,기간,751,1319,2070
595,평균,869,1279,2148
596,물가수준,25,31,56
597,목표가,52,103,155
598,충족,99,158,257
599,장기간,56,143,199
600,얼마,30,45,75
601,일정,235,349,584
602,부분,474,556,1030
603,중반,176,222,398
604,머물,41,71,112
605,당장,104,201,305
606,본격,198,377,575
607,가시,74,123,197
608,넘어서,50,78,128
609,증가율,434,574,1008
610,지수,1590,2511,4101
611,수용,36,92,128
612,목표,659,1373,2032
613,물가지수,389,539,928
614,저평가,93,118,211
615,영역,102,167,269
616,찾,162,318,480
617,연간,386,556,942
618,어렵,358,492,850
619,이러,598,649,1247
620,부상,28,52,80
621,재개,133,177,310
622,한국은행,746,1120,1866
623,열,161,318,479
624,종료,144,383,527
625,라면,111,185,296
626,이어질,291,430,721
627,어려울,162,213,375
628,한미,40,83,123
629,최대,560,1215,1775
630,당시,217,421,638
631,비율,227,547,774
632,연말,332,554,886
634,뒤,218,428,646
636,형성,189,377,566
637,완전히,47,85,132
638,여전히,625,1101,1726
639,가격,1753,3003,4756
640,남,198,377,575
641,적절,179,360,539
642,가량,370,486,856
643,물,564,948,1512
645,과정,397,568,965
646,향해,26,108,134
647,인상기,51,22,73
648,은행,2016,3229,5245
649,안정,1206,1749,2955
650,가늠,65,64,129
652,싱,7,21,28
653,상당기간,64,84,148
654,이루어질,19,37,56
655,이미,303,483,786
656,자체,245,357,602
657,개별,387,459,846
658,이슈,380,506,886
659,보다,220,332,552
660,진행,825,1502,2327
661,취약,94,186,280
663,미치,507,610,1117
664,고용,818,1154,1972
665,양호,345,481,826
666,비농업부문,20,56,76
667,증가,2212,3296,5508
668,시간,685,1519,2204
669,전치,13,44,57
670,넘,352,714,1066
671,기록,1710,3270,4980
672,보여,256,326,582
673,측면,492,588,1080
674,꾸준히,195,239,434
675,전월,807,1213,2020
677,주간,937,1271,2208
678,근무,25,62,87
679,생산,466,787,1253
680,소비,1253,1469,2722
681,신호,97,208,305
682,전달,81,271,352
683,스,14,30,44
684,보임,125,141,266
685,유로존,457,887,1344
686,뒷받침,120,141,261
687,기여도,68,81,149
688,정부,1471,2274,3745
689,지출,330,564,894
690,순수출,20,25,45
691,위기,269,573,842
692,이전,452,617,1069
693,플러스,142,215,357
694,전환,859,1395,2254
695,최,63,178,241
697,독일,827,870,1697
699,수출국,23,58,81
700,기여,105,172,277
701,통화정책회의,160,253,413
702,많이,194,411,605
703,매입,541,734,1275
705,수정,268,410,678
706,정상화,226,419,645
707,갔,113,214,327
708,소비자,1177,1840,3017
709,근원,434,599,1033
710,헤드라인,68,103,171
711,핵심,230,415,645
712,전후,78,124,202
713,둔화,1090,1782,2872
714,제기,161,297,458
715,반대,261,522,783
716,기준,2120,3723,5843
717,오르,313,614,927
718,서비스,529,1159,1688
719,파트,14,63,77
720,달했,69,118,187
721,집세,16,17,33
722,공공,98,178,276
723,개인서비스,15,15,30
724,원인,166,244,410
725,특히,651,1299,1950
726,외식,27,21,48
727,설,120,124,244
728,연휴,168,89,257
730,올라,102,217,319
731,금주,233,372,605
732,하단,238,267,505
733,공고,28,53,81
734,겨울,12,18,30
735,소매,326,500,826
736,판매,521,957,1478
737,수요,1201,1786,2987
738,강,58,100,158
739,올랐,307,607,914
740,유가,732,1059,1791
741,기인,186,195,381
742,달러,2907,4985,7892
743,변동성,603,908,1511
744,심리,443,619,1062
745,미시건대,56,70,126
746,신뢰지수,78,108,186
747,이끌,108,156,264
749,지난주,341,502,843
750,역축,18,20,38
751,유로화,80,196,276
752,둔화세,32,59,91
753,상당부분,100,121,221
754,차지,255,456,711
755,정점,100,152,252
756,교역,192,250,442
758,부족,163,377,540
759,대외,284,482,766
760,다소,469,672,1141
761,악화,398,564,962
762,펀,8,14,22
763,펜,22,36,58
764,털,13,13,26
765,관한,55,99,154
766,포워드가이던스,39,79,118
767,삭제,29,132,161
768,문구,94,198,292
769,이탈리아,401,608,1009
770,정치,294,415,709
771,불,101,211,312
772,확,21,29,50
773,금융규제,37,35,72
774,밟,9,29,38
775,놓여,14,17,31
776,예치,23,37,60
777,시그널,76,119,195
778,구로다,22,15,37
779,기자회견,101,323,424
780,회계연도,38,56,94
781,출구전략,51,44,95
782,할,186,366,552
783,빠른,147,198,345
785,대해서,341,525,866
786,확장,137,232,369
787,일본,1361,2184,3545
788,감독,61,98,159
789,담당,64,157,221
791,줄,304,597,901
792,예고,78,134,212
793,제대로,33,76,109
794,복잡,28,48,76
795,규제,489,595,1084
796,예,98,150,248
797,규제당국,5,15,20
798,합의,128,186,314
799,밝힘,45,40,85
800,이사,124,238,362
801,애틀란타,3,20,23
802,연은총재,98,88,186
803,관해,9,13,22
804,피력,27,79,106
805,보호무역,10,17,27
806,분야,114,232,346
807,이득,7,12,19
808,문제,540,1043,1583
809,야기,40,52,92
810,지적,273,514,787
811,로젠,5,10,15
813,非,7,10,17
814,예측,166,348,514
815,유력,62,75,137
816,날짜,18,38,56
817,기계,127,190,317
818,수주,143,249,392
819,중국,1899,3303,5202
820,광공업,49,109,158
821,누적,543,465,1008
822,고정자산,13,36,49
823,산업,723,1077,1800
824,생산자,172,267,439
825,기업,1771,3323,5094
826,재고,161,331,492
827,엠파이어스테이트,20,21,41
828,제조업,563,956,1519
829,주택시장,160,249,409
830,주택,664,1112,1776
831,착공,126,178,304
832,건수,216,344,560
833,건축허가,34,36,70
834,대학교,23,45,68
835,망치,15,21,36
836,속보치,10,58,68
837,잠정치,79,58,137
838,확정치,51,34,85
839,금융,955,2389,3344
840,준,43,72,115
841,태,7,8,15
842,등급,1057,1114,2171
843,스플릿,2,32,34
845,김상만,176,364,540
846,김준태,7,18,25
849,각자,6,12,18
850,길,133,268,401
852,만나,18,56,74
853,회사채,3763,4523,8286
854,신용평가,56,171,227
856,수행,40,102,142
857,피,71,116,187
858,복수,5,34,39
859,평가사,9,11,20
860,유효,215,295,510
861,인정받,31,48,79
862,신용평가사,75,130,205
863,신뢰도,10,36,46
865,무,77,144,221
866,차별,27,57,84
867,현상,314,469,783
868,시,279,429,708
869,일단,105,115,220
871,한다면,14,22,36
872,다르,114,166,280
873,사별,6,16,22
874,담당자,62,93,155
875,접근,138,254,392
876,차이,259,360,619
877,둘러싼,70,101,171
878,사업,515,1069,1584
879,다를,60,84,144
880,물론,233,314,547
881,대다수,31,59,90
882,같,1005,1818,2823
883,유사,126,151,277
884,정상,45,139,184
885,그렇,133,148,281
886,방법,137,192,329
887,담보,74,157,231
888,어려워,89,120,209
890,일종,22,41,63
891,눈치,3,13,16
892,했,348,858,1206
893,사실,306,397,703
894,보인다,865,1536,2401
895,괴리,71,99,170
896,달하,71,168,239
897,공모채,57,114,171
898,잔액,362,617,979
899,동향,650,610,1260
900,검토,196,355,551
901,재무,252,368,620
902,한쪽,8,9,17
903,뚜렷이,6,11,17
904,제시,476,902,1378
905,함의,2,16,18
907,개별기업,16,35,51
908,정량,10,5,15
909,정성,66,45,111
910,종합,358,507,865
911,판정,4,12,16
912,결론,80,114,194
913,이르,92,210,302
914,실적,860,1341,2201
915,통한,244,418,662
916,생각,378,527,905
917,이제,151,227,378
918,곧,41,92,133
919,결산,24,72,96
920,기반,213,388,601
921,정기,64,139,203
922,평정,15,24,39
923,시즌,39,57,96
924,도래,116,292,408
925,참고,273,305,578
926,전반,432,646,1078
927,약보합,51,101,152
928,보였,499,960,1459
929,전채,88,129,217
930,상위등급,37,87,124
931,내외,143,251,394
932,확대,2160,3486,5646
933,유통시장,99,117,216
934,상위,274,481,755
935,종목,593,1215,1808
936,A등급,113,150,263
937,하위등급,68,131,199
938,AA등급,69,111,180
939,모습,800,1269,2069
940,요약,101,200,301
942,트리거,19,47,66
943,CJ헬로비전,11,11,22
944,AA-등급,22,27,49
945,에스,76,132,208
946,인천,88,175,263
947,석유화학,84,128,212
948,한신평,226,271,497
949,신평,91,154,245
950,대상,459,1112,1571
951,한기평,135,160,295
952,엘에스엠,13,20,33
953,트론,14,24,38
955,실트론,12,51,63
956,현대엘리베이터,7,16,23
957,성우하이텍,14,17,31
958,평택,10,60,70
959,에너지,358,703,1061
960,A-등급,8,12,20
961,포천,8,11,19
962,파워,34,37,71
964,유보,18,40,58
965,리스트,16,30,46
966,금융기업,15,20,35
967,등급간,15,23,38
968,이하,550,873,1423
969,이중,84,200,284
974,구분,317,388,705
975,M&A,110,160,270
976,업황,73,167,240
977,저하,148,197,345
978,재무구조,86,107,193
979,사유,45,89,134
980,구성,231,351,582
981,신용등급,731,1025,1756
982,비교,313,706,1019
983,신평사,63,73,136
984,살펴보,207,299,506
986,마지막,95,183,278
987,뛰어넘,40,60,100
988,나타나,420,542,962
989,회사,1037,1286,2323
990,나이스,13,28,41
991,급,428,474,902
992,나열,10,9,19
993,동사,19,51,70
994,나이스신용평가,9,25,34
995,적용,391,716,1107
996,공시,195,162,357
997,오가,10,26,36
998,신용스프레드,282,205,487
1000,근접,108,173,281
1001,부채비율,195,215,410
1002,항목,115,123,238
1004,계열,89,76,165
1006,무산,16,32,48
1007,매각,167,383,550
1008,시도,82,169,251
1009,산정,72,125,197
1010,시계열,24,31,55
1011,관계,191,285,476
1012,통합,118,167,285
1013,신용도,36,33,69
1014,격차,112,154,266
1015,미미,75,88,163
1016,같이,250,392,642
1017,밝히,63,111,174
1018,잉여,23,29,52
1019,비용,483,640,1123
1020,재무제표,17,59,76
1021,기평,101,114,215
1022,배,615,845,1460
1023,한국기업평가,43,61,104
1024,A+등급,27,17,44
1025,사,176,379,555
1026,수렴,62,83,145
1027,오,306,1011,1317
1028,도크,74,89,163
1029,반응,154,187,341
1030,평,15,33,48
1031,기점,73,166,239
1033,이익잉여금,15,10,25
1034,차입,85,272,357
1035,의존,58,101,159
1036,별도기준,21,21,42
1037,순차입금,19,49,68
1039,고수,19,45,64
1040,가까이,111,203,314
