,범례명,기준금리
533,2015-06-17,1.5
534,2015-06-18,1.5
535,2015-06-19,1.5
536,2015-06-20,1.5
537,2015-06-21,1.5
538,2015-06-22,1.5
539,2015-06-23,1.5
540,2015-06-24,1.5
541,2015-06-25,1.5
542,2015-06-26,1.5
543,2015-06-27,1.5
544,2015-06-28,1.5
545,2015-06-29,1.5
546,2015-06-30,1.5
547,2015-07-01,1.5
548,2015-07-02,1.5
549,2015-07-03,1.5
550,2015-07-04,1.5
551,2015-07-05,1.5
552,2015-07-06,1.5
553,2015-07-07,1.5
554,2015-07-08,1.5
555,2015-07-09,1.5
556,2015-07-10,1.5
557,2015-07-11,1.5
558,2015-07-12,1.5
559,2015-07-13,1.5
560,2015-07-14,1.5
561,2015-07-15,1.5
562,2015-07-16,1.5
563,2015-07-17,1.5
564,2015-07-18,1.5
565,2015-07-19,1.5
566,2015-07-20,1.5
567,2015-07-21,1.5
568,2015-07-22,1.5
569,2015-07-23,1.5
570,2015-07-24,1.5
571,2015-07-25,1.5
572,2015-07-26,1.5
573,2015-07-27,1.5
574,2015-07-28,1.5
575,2015-07-29,1.5
576,2015-07-30,1.5
577,2015-07-31,1.5
578,2015-08-01,1.5
579,2015-08-02,1.5
580,2015-08-03,1.5
581,2015-08-04,1.5
582,2015-08-05,1.5
583,2015-08-06,1.5
584,2015-08-07,1.5
585,2015-08-08,1.5
586,2015-08-09,1.5
587,2015-08-10,1.5
588,2015-08-11,1.5
589,2015-08-12,1.5
590,2015-08-13,1.5
591,2015-08-14,1.5
592,2015-08-15,1.5
593,2015-08-16,1.5
594,2015-08-17,1.5
595,2015-08-18,1.5
596,2015-08-19,1.5
597,2015-08-20,1.5
598,2015-08-21,1.5
599,2015-08-22,1.5
600,2015-08-23,1.5
601,2015-08-24,1.5
602,2015-08-25,1.5
603,2015-08-26,1.5
604,2015-08-27,1.5
605,2015-08-28,1.5
606,2015-08-29,1.5
607,2015-08-30,1.5
608,2015-08-31,1.5
609,2015-09-01,1.5
610,2015-09-02,1.5
611,2015-09-03,1.5
612,2015-09-04,1.5
613,2015-09-05,1.5
614,2015-09-06,1.5
615,2015-09-07,1.5
616,2015-09-08,1.5
617,2015-09-09,1.5
618,2015-09-10,1.5
619,2015-09-11,1.5
620,2015-09-12,1.5
621,2015-09-13,1.5
622,2015-09-14,1.5
623,2015-09-15,1.5
624,2015-09-16,1.5
625,2015-09-17,1.5
626,2015-09-18,1.5
627,2015-09-19,1.5
628,2015-09-20,1.5
629,2015-09-21,1.5
630,2015-09-22,1.5
631,2015-09-23,1.5
632,2015-09-24,1.5
633,2015-09-25,1.5
634,2015-09-26,1.5
635,2015-09-27,1.5
636,2015-09-28,1.5
637,2015-09-29,1.5
638,2015-09-30,1.5
639,2015-10-01,1.5
640,2015-10-02,1.5
641,2015-10-03,1.5
642,2015-10-04,1.5
643,2015-10-05,1.5
644,2015-10-06,1.5
645,2015-10-07,1.5
646,2015-10-08,1.5
647,2015-10-09,1.5
648,2015-10-10,1.5
649,2015-10-11,1.5
650,2015-10-12,1.5
651,2015-10-13,1.5
652,2015-10-14,1.5
653,2015-10-15,1.5
654,2015-10-16,1.5
655,2015-10-17,1.5
656,2015-10-18,1.5
657,2015-10-19,1.5
658,2015-10-20,1.5
659,2015-10-21,1.5
660,2015-10-22,1.5
661,2015-10-23,1.5
662,2015-10-24,1.5
663,2015-10-25,1.5
664,2015-10-26,1.5
665,2015-10-27,1.5
666,2015-10-28,1.5
667,2015-10-29,1.5
668,2015-10-30,1.5
669,2015-11-01,1.5
670,2015-11-02,1.5
671,2015-11-03,1.5
672,2015-11-04,1.5
673,2015-11-05,1.5
674,2015-11-06,1.5
675,2015-11-07,1.5
676,2015-11-08,1.5
677,2015-11-09,1.5
678,2015-11-10,1.5
679,2015-11-11,1.5
680,2015-11-12,1.5
681,2015-11-13,1.5
682,2015-11-14,1.5
683,2015-11-15,1.5
684,2015-11-16,1.5
685,2015-11-17,1.5
686,2015-11-18,1.5
687,2015-11-19,1.5
688,2015-11-20,1.5
689,2015-11-21,1.5
690,2015-11-22,1.5
691,2015-11-23,1.5
692,2015-11-24,1.5
693,2015-11-25,1.5
694,2015-11-26,1.5
695,2015-11-27,1.5
696,2015-11-28,1.5
697,2015-11-29,1.5
698,2015-11-30,1.5
699,2015-12-01,1.5
700,2015-12-02,1.5
701,2015-12-03,1.5
702,2015-12-04,1.5
703,2015-12-05,1.5
704,2015-12-06,1.5
